high,low,last,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,interest_rate,volume,mark_iv,underlying_price,underlying_index,estimated_delivery_price,base_currency,quote_currency,volume_usd,mid_price,expiry,strike,option_type,T,implied_r
0.011,0.0045,0.005,ETH-24NOV25-2925-C,0.0038,0.0043,144.0,0.004175,1763777713872,-54.5455,0.0,166.0,70.17,2759.943007068239,SYN.ETH-24NOV25,2758.38,ETH,ETH,3183.28,0.00405,2025-11-24,2925.0,C,0.0054757015742642025,
,,0.1115,ETH-12DEC25-3050-P,0.137,0.141,325.0,0.140168,1763777713872,,0.0,0.0,78.47,2763.186666666667,SYN.ETH-12DEC25,2758.38,ETH,ETH,0.0,0.139,2025-12-12,3050.0,P,0.05475701574264202,-0.064484091593308
,,,ETH-25SEP26-9000-P,2.0415,2.395,0.0,2.197906,1763777713872,,0.0,0.0,80.4,2842.28,ETH-25SEP26,2758.38,ETH,ETH,0.0,2.21825,2026-09-25,9000.0,P,0.840520191649555,8.096821584994682e-05
0.0055,0.0055,0.0055,ETH-27MAR26-8500-C,0.0048,0.006,2057.0,0.005273,1763777713872,0.0,0.0,52.0,89.25,2789.74,ETH-27MAR26,2758.38,ETH,ETH,784.95,0.0054,2026-03-27,8500.0,C,0.34223134839151265,-0.028300899796409103
0.0009,0.0003,0.0008,ETH-27MAR26-500-P,0.0003,0.0008,15465.0,0.000518,1763777713872,166.6667,0.0,7385.0,116.47,2789.74,ETH-27MAR26,2758.38,ETH,ETH,8867.4,0.00055,2026-03-27,500.0,P,0.34223134839151265,-0.02989826972489192
0.0335,0.025,0.0275,ETH-12DEC25-3150-C,0.027,0.028,914.0,0.027698,1763777713872,-17.9104,0.0,852.0,78.51,2763.496666666667,SYN.ETH-12DEC25,2758.38,ETH,ETH,79382.67,0.0275,2025-12-12,3150.0,C,0.05475701574264202,-0.21869446746755147
0.0022,0.0004,0.0004,ETH-24NOV25-3150-C,0.0003,0.0006,477.0,0.000444,1763777713872,-80.9524,0.0,387.0,80.78,2759.2386472839676,SYN.ETH-24NOV25,2758.38,ETH,ETH,1587.88,0.00045,2025-11-24,3150.0,C,0.0054757015742642025,
0.0355,0.0185,0.023,ETH-26DEC25-2200-P,0.0225,0.0235,13769.0,0.023204,1763777713872,24.3243,0.0,1608.0,83.84,2766.06,ETH-26DEC25,2758.38,ETH,ETH,113515.05,0.023,2025-12-26,2200.0,P,0.09308692676249145,-0.09407608798033523
0.0003,0.0001,0.0003,ETH-28NOV25-5500-C,,0.0001,10739.0,6.7e-05,1763777713872,200.0,0.0,243.0,167.13,2759.61,ETH-28NOV25,2758.38,ETH,ETH,184.49,,2025-11-28,5500.0,C,0.01642710472279261,
0.2,0.2,0.2,ETH-25SEP26-3400-C,0.1985,0.2025,71.0,0.20044,1763777713872,0.0,0.0,20.0,73.18,2842.28,ETH-25SEP26,2758.38,ETH,ETH,10980.4,0.2005,2026-09-25,3400.0,C,0.840520191649555,-0.0014272399660466136
,,0.5,ETH-25SEP26-4400-P,0.5735,0.8145,221.0,0.676155,1763777713872,,0.0,0.0,73.91,2842.1,ETH-25SEP26,2758.38,ETH,ETH,0.0,0.694,2026-09-25,4400.0,P,0.840520191649555,-2.740943951880227e-05
0.014,0.0025,0.0025,ETH-24NOV25-2500-P,0.0029,0.0033,1014.0,0.003114,1763777713872,-24.2424,0.0,7132.0,95.45,2760.364547101715,SYN.ETH-24NOV25,2758.38,ETH,ETH,134897.6,0.0031,2025-11-24,2500.0,P,0.0054757015742642025,
,,1.257,ETH-26DEC25-9000-P,2.112,2.4085,49.0,2.253387,1763777713872,,0.0,0.0,124.13,2766.24,ETH-26DEC25,2758.38,ETH,ETH,0.0,2.26025,2025-12-26,9000.0,P,0.09308692676249145,0.0014157287977635475
0.0105,0.0032,0.0032,ETH-24NOV25-2950-C,0.0028,0.0033,445.0,0.003099,1763777713872,-69.5238,0.0,117.0,70.34,2760.364547101715,SYN.ETH-24NOV25,2758.38,ETH,ETH,2059.24,0.00305,2025-11-24,2950.0,C,0.0054757015742642025,
,,,ETH-5DEC25-2500-C,0.1195,0.1225,0.0,0.120499,1763777713872,,0.0,0.0,85.78,2761.53,ETH-5DEC25,2758.38,ETH,ETH,0.0,0.121,2025-12-05,2500.0,C,0.03559206023271732,-0.11374595919606824
0.0028,0.0019,0.0025,ETH-5DEC25-3900-C,0.0016,0.002,539.0,0.001777,1763777713872,31.5789,0.0,103.0,90.95,2761.28,ETH-5DEC25,2758.38,ETH,ETH,771.47,0.0018,2025-12-05,3900.0,C,0.03559206023271732,-1.7401377171675747
0.008,0.007,0.007,ETH-27MAR26-7500-C,0.007,0.008,3104.0,0.007541,1763777713872,-6.6667,0.0,355.0,85.98,2789.74,ETH-27MAR26,2758.38,ETH,ETH,7050.94,0.0075,2026-03-27,7500.0,C,0.34223134839151265,-0.025225141826242383
0.954,0.858,0.903,ETH-26DEC25-5200-P,0.874,0.888,417.0,0.881564,1763777713875,5.2448,0.0,37.0,93.84,2766.06,ETH-26DEC25,2758.38,ETH,ETH,91073.78,0.881,2025-12-26,5200.0,P,0.09308692676249145,0.0029656915965416463
0.88,0.88,0.88,ETH-26JUN26-5000-P,0.74,0.978,431.0,0.842356,1763777713875,0.0,0.0,5.0,75.73,2812.38,ETH-26JUN26,2758.38,ETH,ETH,11886.42,0.859,2026-06-26,5000.0,P,0.5913757700205339,-0.00013580860819705767
,,0.6865,ETH-26DEC25-1000-C,0.638,0.6405,1419.0,0.639014,1763777713875,,0.0,0.0,132.88,2766.24,ETH-26DEC25,2758.38,ETH,ETH,0.0,0.63925,2025-12-26,1000.0,C,0.09308692676249145,-0.0008332722563228241
,,,ETH-23NOV25-3250-P,,,0.0,0.178097,1763777713875,,0.0,0.0,100.94,2759.0383091049594,SYN.ETH-23NOV25,2758.38,ETH,ETH,0.0,,2025-11-23,3250.0,P,0.0027378507871321013,-0.2770828171546602
0.042,0.019,0.019,ETH-25NOV25-2700-P,0.0205,0.0215,140.0,0.020733,1763777713875,-47.2222,0.0,143.0,81.41,2760.149755301179,SYN.ETH-25NOV25,2758.38,ETH,ETH,13282.0,0.021,2025-11-25,2700.0,P,0.008213552361396304,-7.474005088225439
0.0065,0.0035,0.0035,ETH-28NOV25-3250-C,0.0033,0.0037,3148.0,0.003445,1763777713875,-46.1538,0.0,262.0,83.23,2759.61,ETH-28NOV25,2758.38,ETH,ETH,3653.36,0.0035,2025-11-28,3250.0,C,0.01642710472279261,-5.643665039097207
,,,ETH-23NOV25-3125-P,,,0.0,0.13283,1763777713875,,0.0,0.0,84.39,2759.0383091049594,SYN.ETH-23NOV25,2758.38,ETH,ETH,0.0,,2025-11-23,3125.0,P,0.0027378507871321013,-0.4281507280212071
0.0248,0.0248,0.0248,ETH-27MAR26-5200-C,0.024,0.0255,7932.0,0.024733,1763777713875,0.0,0.0,1500.0,78.3,2789.74,ETH-27MAR26,2758.38,ETH,ETH,101217.48,0.02475,2026-03-27,5200.0,C,0.34223134839151265,-0.015606154661730492
0.0175,0.011,0.0135,ETH-26DEC25-2000-P,0.0125,0.0135,12787.0,0.013029,1763777713875,12.5,0.0,2636.0,88.69,2766.24,ETH-26DEC25,2758.38,ETH,ETH,103582.49,0.013,2025-12-26,2000.0,P,0.09308692676249145,-0.1358876810180478
0.0395,0.0395,0.0395,ETH-26JUN26-6200-C,0.0375,0.0395,838.0,0.038347,1763777713875,0.0,0.0,2.0,78.21,2812.38,ETH-26JUN26,2758.38,ETH,ETH,220.28,0.0385,2026-06-26,6200.0,C,0.5913757700205339,-0.005877603027788221
0.0007,0.0007,0.0007,ETH-24NOV25-3300-C,0.0001,0.0003,40.0,0.00017,1763777713875,0.0,0.0,10.0,92.26,2759.2386472839676,SYN.ETH-24NOV25,2758.38,ETH,ETH,19.15,0.0002,2025-11-24,3300.0,C,0.0054757015742642025,
,,,ETH-24NOV25-3400-P,,,0.0,0.232473,1763777713875,,0.0,0.0,103.71,2759.2386472839676,SYN.ETH-24NOV25,2758.38,ETH,ETH,0.0,,2025-11-24,3400.0,P,0.0054757015742642025,-0.1295014338564964
0.047,0.035,0.0404,ETH-26DEC25-3200-C,0.0385,0.04,20474.0,0.039578,1763777713875,-14.0426,0.0,932.0,75.27,2766.24,ETH-26DEC25,2758.38,ETH,ETH,102154.92,0.03925,2025-12-26,3200.0,C,0.09308692676249145,-0.09044245179620448
0.0021,0.0011,0.0021,ETH-26JUN26-500-P,0.0016,0.002,14852.0,0.001721,1763777713875,90.9091,0.0,2925.0,103.81,2812.38,ETH-26JUN26,2758.38,ETH,ETH,14373.18,0.0018,2026-06-26,500.0,P,0.5913757700205339,-0.009987672128183678
0.0635,0.0525,0.0565,ETH-30JAN26-3400-C,0.056,0.058,1110.0,0.056937,1763777713875,-11.0236,0.0,170.0,74.03,2775.542307692308,SYN.ETH-30JAN26,2758.38,ETH,ETH,26851.09,0.057,2026-01-30,3400.0,C,0.188911704312115,-0.01972153030478222
